               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.019948,           0.0069508,           0.0019029,             0.98434,             0.96233,             0.98472,             0.79597,            0.019441,           0.0062923,           0.0030355,            0.006535,            0.006535,            0.006535
                  37,            0.019661,           0.0069654,           0.0018952,             0.98946,             0.95253,             0.98207,              0.8001,            0.019853,            0.006381,           0.0033723,            0.006436,            0.006436,            0.006436
                  38,            0.019123,            0.006905,           0.0016687,             0.98834,             0.96943,             0.98223,             0.79095,            0.019658,           0.0062767,           0.0037438,            0.006337,            0.006337,            0.006337
                  39,            0.018941,           0.0067394,           0.0018416,             0.97941,             0.95451,             0.98434,             0.79193,            0.019462,           0.0061852,           0.0044078,            0.006238,            0.006238,            0.006238
                  40,            0.019349,           0.0067287,           0.0021281,              0.9766,             0.94156,             0.96954,             0.78974,             0.02015,           0.0065076,           0.0033281,            0.006139,            0.006139,            0.006139
                  41,             0.01877,           0.0065517,           0.0016803,             0.97084,             0.95198,             0.97361,             0.78467,            0.020152,           0.0063412,           0.0029169,             0.00604,             0.00604,             0.00604
                  42,            0.018369,           0.0067216,           0.0016546,             0.97606,             0.95671,             0.98254,             0.80097,            0.019243,           0.0063269,           0.0028117,            0.005941,            0.005941,            0.005941
                  43,            0.018583,           0.0067665,           0.0017129,             0.97241,              0.9654,             0.98485,             0.80512,            0.018801,           0.0062945,           0.0026907,            0.005842,            0.005842,            0.005842
                  44,            0.017975,           0.0063214,           0.0013489,             0.98356,             0.95802,              0.9816,             0.80465,            0.019324,           0.0062634,           0.0025334,            0.005743,            0.005743,            0.005743
                  45,            0.017877,           0.0064625,            0.001466,             0.97578,             0.96525,             0.98163,             0.80561,            0.018946,           0.0061485,           0.0026815,            0.005644,            0.005644,            0.005644
                  46,            0.017689,           0.0063004,           0.0014364,             0.98538,             0.95787,             0.98181,             0.81437,            0.018746,           0.0062691,           0.0026659,            0.005545,            0.005545,            0.005545
                  47,            0.017368,           0.0064246,           0.0013816,             0.98858,             0.96274,             0.98204,             0.81007,            0.018696,           0.0062057,           0.0023473,            0.005446,            0.005446,            0.005446
                  48,            0.017405,           0.0064045,           0.0015678,             0.98032,             0.95961,             0.97749,             0.81304,            0.018573,           0.0061504,            0.002227,            0.005347,            0.005347,            0.005347
                  49,            0.017679,           0.0063702,           0.0013116,             0.98366,             0.96194,             0.98372,             0.81376,            0.018284,           0.0060065,           0.0025967,            0.005248,            0.005248,            0.005248
                  50,            0.017233,           0.0063957,           0.0013764,              0.9802,             0.95593,              0.9788,             0.80784,            0.018947,           0.0062215,           0.0021352,            0.005149,            0.005149,            0.005149
                  51,            0.016499,            0.006198,           0.0013636,             0.98816,             0.95926,             0.98268,             0.81159,            0.018759,           0.0061129,           0.0023564,             0.00505,             0.00505,             0.00505
                  52,            0.017226,           0.0062241,            0.001231,             0.98124,             0.95769,             0.98218,             0.81227,            0.018144,           0.0060404,           0.0028666,            0.004951,            0.004951,            0.004951
                  53,            0.016639,           0.0060587,           0.0012674,             0.98441,             0.96889,             0.98416,             0.81462,            0.018099,           0.0060189,            0.002337,            0.004852,            0.004852,            0.004852
                  54,            0.016287,           0.0061171,           0.0011658,             0.98113,             0.95222,             0.97168,             0.81378,            0.018022,           0.0061865,           0.0023874,            0.004753,            0.004753,            0.004753
                  55,            0.016275,           0.0059822,           0.0010835,             0.98856,              0.9617,             0.98214,             0.82353,            0.017713,           0.0059924,            0.002467,            0.004654,            0.004654,            0.004654
                  56,            0.015958,           0.0060351,          0.00099882,             0.98934,             0.96692,             0.98233,             0.82943,            0.017718,           0.0058095,           0.0022532,            0.004555,            0.004555,            0.004555
                  57,            0.015838,           0.0060902,           0.0011497,              0.9851,             0.96562,             0.98586,             0.82914,            0.018014,           0.0060469,           0.0023285,            0.004456,            0.004456,            0.004456
                  58,            0.015794,            0.006061,           0.0010748,             0.97899,             0.97106,               0.982,             0.83083,            0.017674,           0.0060676,           0.0027086,            0.004357,            0.004357,            0.004357
                  59,            0.015288,           0.0058846,          0.00091887,             0.98521,             0.96007,             0.98449,             0.83301,            0.017561,           0.0059282,           0.0024782,            0.004258,            0.004258,            0.004258
                  60,            0.015277,           0.0057572,            0.001266,             0.98479,              0.9483,             0.98025,             0.82882,            0.017667,           0.0060345,           0.0026711,            0.004159,            0.004159,            0.004159
                  61,            0.014764,           0.0056934,           0.0011033,             0.97187,             0.95921,             0.98309,             0.82577,            0.017513,           0.0059796,           0.0033094,             0.00406,             0.00406,             0.00406
